Action,Reward,Jumping,Enemy state,Distance,Life,EnemyLife,Action2,Jumping2,Enemy state2,Distance2,Life2,EnemyLife2,Action3,Jumping3,Enemy state3,Distance3,Life3,EnemyLife3,Action4,Jumping4,Enemy state4,Distance4,Life4,EnemyLife4,Action5,Jumping5,Enemy state5,Distance5,Life5,EnemyLife5,Action6,Jumping6,Enemy state6,Distance6,Life6,EnemyLife6,Action7,Jumping7,Enemy state7,Distance7,Life7,EnemyLife7,Action8,Jumping8,Enemy state8,Distance8,Life8,EnemyLife8,Action9,Jumping9,Enemy state9,Distance9,Life9,EnemyLife9,Action10,Jumping10,Enemy state10,Distance10,Life10,EnemyLife10
0,0.0,0,7,0,1,1,0.0,0.0,49.0,0.0,1.0,1.0,0.0,0.0,343.0,0.0,1.0,1.0,0.0,0.0,2401.0,0.0,1.0,1.0,0.0,0.0,16807.0,0.0,1.0,1.0,0.0,0.0,117649.0,0.0,1.0,1.0,0.0,0.0,823543.0,0.0,1.0,1.0,0.0,0.0,5764801.0,0.0,1.0,1.0,0.0,0.0,4.0353607E7,0.0,1.0,1.0,0.0,0.0,2.82475249E8,0.0,1.0,1.0
0,0.0,0,18,0,1,1,0.0,0.0,324.0,0.0,1.0,1.0,0.0,0.0,5832.0,0.0,1.0,1.0,0.0,0.0,104976.0,0.0,1.0,1.0,0.0,0.0,1889568.0,0.0,1.0,1.0,0.0,0.0,3.4012224E7,0.0,1.0,1.0,0.0,0.0,6.12220032E8,0.0,1.0,1.0,0.0,0.0,1.1019960576E10,0.0,1.0,1.0,0.0,0.0,1.98359290368E11,0.0,1.0,1.0,0.0,0.0,3.570467226624E12,0.0,1.0,1.0
0,0.0,0,24,0,1,1,0.0,0.0,576.0,0.0,1.0,1.0,0.0,0.0,13824.0,0.0,1.0,1.0,0.0,0.0,331776.0,0.0,1.0,1.0,0.0,0.0,7962624.0,0.0,1.0,1.0,0.0,0.0,1.91102976E8,0.0,1.0,1.0,0.0,0.0,4.586471424E9,0.0,1.0,1.0,0.0,0.0,1.10075314176E11,0.0,1.0,1.0,0.0,0.0,2.641807540224E12,0.0,1.0,1.0,0.0,0.0,6.3403380965376E13,0.0,1.0,1.0
0,-1.5569196428571428,0,37,0,1,1,0.0,0.0,1369.0,0.0,1.0,1.0,0.0,0.0,50653.0,0.0,1.0,1.0,0.0,0.0,1874161.0,0.0,1.0,1.0,0.0,0.0,6.9343957E7,0.0,1.0,1.0,0.0,0.0,2.565726409E9,0.0,1.0,1.0,0.0,0.0,9.4931877133E10,0.0,1.0,1.0,0.0,0.0,3.512479453921E12,0.0,1.0,1.0,0.0,0.0,1.29961739795077E14,0.0,1.0,1.0,0.0,0.0,4.808584372417849E15,0.0,1.0,1.0
0,0.0,0,7,0,1,2,0.0,0.0,49.0,0.0,1.0,4.0,0.0,0.0,343.0,0.0,1.0,8.0,0.0,0.0,2401.0,0.0,1.0,16.0,0.0,0.0,16807.0,0.0,1.0,32.0,0.0,0.0,117649.0,0.0,1.0,64.0,0.0,0.0,823543.0,0.0,1.0,128.0,0.0,0.0,5764801.0,0.0,1.0,256.0,0.0,0.0,4.0353607E7,0.0,1.0,512.0,0.0,0.0,2.82475249E8,0.0,1.0,1024.0
0,0.0,0,26,0,1,2,0.0,0.0,676.0,0.0,1.0,4.0,0.0,0.0,17576.0,0.0,1.0,8.0,0.0,0.0,456976.0,0.0,1.0,16.0,0.0,0.0,1.1881376E7,0.0,1.0,32.0,0.0,0.0,3.08915776E8,0.0,1.0,64.0,0.0,0.0,8.031810176E9,0.0,1.0,128.0,0.0,0.0,2.08827064576E11,0.0,1.0,256.0,0.0,0.0,5.429503678976E12,0.0,1.0,512.0,0.0,0.0,1.41167095653376E14,0.0,1.0,1024.0
0,0.0,0,28,0,1,2,0.0,0.0,784.0,0.0,1.0,4.0,0.0,0.0,21952.0,0.0,1.0,8.0,0.0,0.0,614656.0,0.0,1.0,16.0,0.0,0.0,1.7210368E7,0.0,1.0,32.0,0.0,0.0,4.81890304E8,0.0,1.0,64.0,0.0,0.0,1.3492928512E10,0.0,1.0,128.0,0.0,0.0,3.77801998336E11,0.0,1.0,256.0,0.0,0.0,1.0578455953408E13,0.0,1.0,512.0,0.0,0.0,2.96196766695424E14,0.0,1.0,1024.0
0,0.0,0,38,0,1,2,0.0,0.0,1444.0,0.0,1.0,4.0,0.0,0.0,54872.0,0.0,1.0,8.0,0.0,0.0,2085136.0,0.0,1.0,16.0,0.0,0.0,7.9235168E7,0.0,1.0,32.0,0.0,0.0,3.010936384E9,0.0,1.0,64.0,0.0,0.0,1.14415582592E11,0.0,1.0,128.0,0.0,0.0,4.347792138496E12,0.0,1.0,256.0,0.0,0.0,1.65216101262848E14,0.0,1.0,512.0,0.0,0.0,6.278211847988224E15,0.0,1.0,1024.0
0,0.4040697674418605,0,24,1,0,1,0.0,0.0,576.0,1.0,0.0,1.0,0.0,0.0,13824.0,1.0,0.0,1.0,0.0,0.0,331776.0,1.0,0.0,1.0,0.0,0.0,7962624.0,1.0,0.0,1.0,0.0,0.0,1.91102976E8,1.0,0.0,1.0,0.0,0.0,4.586471424E9,1.0,0.0,1.0,0.0,0.0,1.10075314176E11,1.0,0.0,1.0,0.0,0.0,2.641807540224E12,1.0,0.0,1.0,0.0,0.0,6.3403380965376E13,1.0,0.0,1.0
0,0.0,0,0,1,1,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
